pin14,street_number,street_name,dir,type,sq_ft,ward,community_area,zoning_classification
20172100230000,1048,57TH,W,ST,2168,16,ENGLEWOOD,RS-3
20084080390000,5236,MAY,S,ST,3107,16,NEW CITY,RS-3
20084260220000,5418,MORGAN,S,ST,3175,16,NEW CITY,RS-3
20172260130000,5837,ABERDEEN,S,ST,3118,16,ENGLEWOOD,RS-3
20213160340000,6946,WALLACE,S,ST,3219,6,ENGLEWOOD,RS-3
20172300150000,5804,GREEN,S,ST,8999,16,ENGLEWOOD,RS-3
20164150050000,6109,STEWART,S,AVE,5051,20,ENGLEWOOD,RS-3
20153110030000,357,60TH,E,ST,4907,20,WASHINGTON PARK,RM-5
20202210210000,6545,SANGAMON,S,ST,3095,17,ENGLEWOOD,RS-3
20172190050000,5709,CARPENTER,S,ST,3134,16,ENGLEWOOD,RS-3
20231050520000,6368,ELLIS,S,AVE,5745,20,WOODLAWN,RT-4
20074180290000,5312,HONORE,S,ST,3121,16,NEW CITY,RS-3
20171200130000,5731,LOOMIS,S,BLVD,3119,16,WEST ENGLEWOOD,RS-3
20232260140000,1512,66TH,E,PL,10140,5,WOODLAWN,RM-5
20074030130000,5119,HONORE,S,ST,3131,16,NEW CITY,RS-3
20202190430000,6556,MORGAN,S,ST,3136,17,ENGLEWOOD,RS-3
20081220330000,1340,50TH,W,ST,3014,16,NEW CITY,RT-4
20162200080000,5753,PERRY,S,AVE,2482,20,WASHINGTON PARK,RS-3
20222120290000,6416,CHAMPLAIN,S,AVE,3059,20,WOODLAWN,RT-4
20161170030000,5707,NORMAL,S,BLVD,2652,20,ENGLEWOOD,RS-3
20231090020000,6349,GREENWOOD,S,AVE,3641,20,WOODLAWN,RT-4
20171220040000,5711,THROOP,S,ST,3119,16,WEST ENGLEWOOD,RS-3
20211250150000,6602,LOWE,S,AVE,2220,6,ENGLEWOOD,RT-4
20074250110000,5429,WINCHESTER,S,AVE,3121,16,NEW CITY,RS-3
20103140150000,5408,PRAIRIE,S,AVE,8127,3,WASHINGTON PARK,RM-5
20173120290000,6026,ADA,S,ST,3127,16,WEST ENGLEWOOD,RS-3
20163220090000,523,62ND,W,ST,3715,20,ENGLEWOOD,RS-3
20174140140000,6033,PEORIA,S,ST,2976,16,ENGLEWOOD,RS-3
20162050080000,5547,LA SALLE,S,ST,3150,3,ENGLEWOOD,RS-3
20162060040000,41,GARFIELD,W,BLVD,2501,3,WASHINGTON PARK,RT-4
20231050090000,6344,INGLESIDE,S,AVE,6225,20,WOODLAWN,RT-4
20144190060000,6255,HARPER,S,AVE,1092,5,WOODLAWN,RM-6
20184110130000,6033,HONORE,S,ST,3105,15,WEST ENGLEWOOD,RS-3
20094160780000,5410,PRINCETON,S,AVE,4575,3,FULLER PARK,RS-3
20103040310000,5241,INDIANA,S,AVE,8146,3,WASHINGTON PARK,RM-5
20201110120000,6429,BISHOP,S,ST,3102,17,WEST ENGLEWOOD,RS-3
20162010450000,5655,SHIELDS,S,AVE,3004,3,ENGLEWOOD,RS-3
20173220080000,6121,THROOP,S,ST,3301,16,WEST ENGLEWOOD,RS-3
20094010030000,323,51ST,W,PL,3022,3,FULLER PARK,RS-3
20182090200000,5624,WOLCOTT,S,AVE,3725,15,WEST ENGLEWOOD,RS-3
20291040210000,1231,71ST,W,ST,3101,17,WEST ENGLEWOOD,RS-3
20153110010000,6001,CALUMET,S,AVE,9623,20,WASHINGTON PARK,RM-5
20191070430000,6321,SEELEY,S,AVE,3933,15,WEST ENGLEWOOD,RS-3
20103010030000,5115,WABASH,S,AVE,5351,3,WASHINGTON PARK,RT-4
20093090140000,5233,EMERALD,S,AVE,3093,3,NEW CITY,RS-3
20084090440000,5252,ABERDEEN,S,ST,3108,16,NEW CITY,RS-3
20082200010000,5035,MORGAN,S,ST,6253,20,NEW CITY,RS-3
20084180020000,5303,CARPENTER,S,ST,3166,16,NEW CITY,RS-3
20194000230000,6745,DAMEN,S,AVE,3092,15,WEST ENGLEWOOD,RS-3
20151050100000,223,55TH,E,PL,2959,20,WASHINGTON PARK,RM-5
20213280190000,7055,EGGLESTON,S,AVE,6941,6,ENGLEWOOD,RT-4
20162070410000,5657,LAFAYETTE,S,AVE,2499,3,WASHINGTON PARK,RS-3
20174260120000,6233,ABERDEEN,S,ST,3095,16,ENGLEWOOD,RS-3
20161130150000,5737,EMERALD,S,AVE,3106,20,ENGLEWOOD,RS-3
20153040290000,5928,CALUMET,S,AVE,5949,20,WASHINGTON PARK,RM-5
20194180050000,1849,69TH,W,ST,2999,17,WEST ENGLEWOOD,RS-3
20093010380000,5146,UNION,S,AVE,3125,3,NEW CITY,RS-3
20154030260000,6034,RHODES,S,AVE,3123,20,WOODLAWN,RM-5
20171020260000,5524,BISHOP,S,ST,3095,16,WEST ENGLEWOOD,RS-3
20162050060000,5541,LA SALLE,S,ST,3905,3,ENGLEWOOD,RS-3
20171160270000,5718,JUSTINE,S,ST,3106,16,WEST ENGLEWOOD,RS-3
20161010520000,5600,UNION,S,AVE,6343,20,ENGLEWOOD,RS-3
20103010650000,5121,WABASH,S,AVE,3916,3,WASHINGTON PARK,RT-4
20232250070000,1426,MARQUETTE,E,RD,15310,5,WOODLAWN,RM-5
20211130160000,6447,NORMAL,S,BLVD,1005,20,ENGLEWOOD,RT-4
20103060070000,5131,CALUMET,S,AVE,5111,3,WASHINGTON PARK,RM-5
20192080480000,1949,64TH,W,ST,3739,15,WEST ENGLEWOOD,RS-3
20203270250000,7018,LOOMIS,S,BLVD,3132,17,WEST ENGLEWOOD,RS-3
20103120180000,5300,CALUMET,S,AVE,16665,3,WASHINGTON PARK,RM-5
20174100160000,6043,ABERDEEN,S,ST,3191,16,ENGLEWOOD,RS-3
20093000260000,5112,EMERALD,S,AVE,3201,3,NEW CITY,RS-3
20192150070000,6415,MARSHFIELD,S,AVE,3081,15,WEST ENGLEWOOD,RS-3
20082160140000,5035,ABERDEEN,S,ST,2764,16,NEW CITY,RS-3
20174060060000,5913,PEORIA,S,ST,3140,16,ENGLEWOOD,RS-3
20203270100000,7027,BISHOP,S,ST,3115,17,WEST ENGLEWOOD,RS-3
20184120020000,6003,WOOD,S,ST,3107,15,WEST ENGLEWOOD,RS-3
20103100280000,5441,MICHIGAN,S,AVE,32746,3,WASHINGTON PARK,RM-5
20192180110000,6533,WOLCOTT,S,AVE,3814,15,WEST ENGLEWOOD,RS-3
