pin14,city_owned,street_number,street_dir,street_name,street_type,zoning_classification,ward,residential,sq_ft,zip_code,alderman_hold
16133060160000,t,2943,W,FLOURNOY,ST,RT-4,,t,2902,,
16133060270000,t,2909,W,FLOURNOY,ST,RT-4,,t,2753,,
16133070040000,t,2851,W,FLOURNOY,ST,RT-4,,t,3127,,
16133070050000,t,2849,W,FLOURNOY,ST,RT-4,,t,3123,,
16142140110000,t,3521,W,JACKSON,BLVD,RM-5,,t,3498,,
16133110260000,t,2838,W,POLK,ST,RT-4,,t,3043,,
16133110250000,t,2840,W,POLK,ST,RT-4,,t,3172,,
16133110180000,t,2858,W,POLK,ST,RT-4,,t,3213,,
16133130190000,t,3015,W,POLK,ST,RT-4,,t,3121,,
16133120220000,t,3111,W,POLK,ST,RT-4,,t,3120,,
16133080400000,t,3116,W,POLK,ST,RT-4,,t,3122,,
16142080090000,t,3525,W,ADAMS,ST,RT-4,,t,3577,,
16133120110000,t,3139,W,POLK,ST,RT-4,,t,3107,,
16142060300000,t,115,S,HOMAN,AVE,RM-5,,t,3196,,
16131080310000,t,2938,W,WILCOX,ST,RT-4,,t,1629,,
16131080370000,t,2926,W,WILCOX,ST,RT-4,,t,3014,,
16131010280000,t,26,S,WHIPPLE,ST,RT-4,,t,2060,,
16131020120000,t,21,S,WHIPPLE,ST,RT-4,,t,1846,,
16131010240000,t,18,S,WHIPPLE,ST,RT-4,,t,2153,,
16131150200000,t,147,S,WHIPPLE,ST,RT-4,,t,3088,,
16124210620000,t,2759,W,WASHINGTON,BLVD,RT-4,,t,2671,,
16124210150000,t,2719,W,WASHINGTON,BLVD,RT-4,,t,2360,,
16124210160000,t,2719,W,WASHINGTON,BLVD,RT-4,,t,2359,,
16124220010000,t,2667,W,WASHINGTON,BLVD,RT-4,,t,8527,,
16114140330000,t,3322,W,WARREN,BLVD,RM-5,,t,3114,,
16114150120000,t,3319,W,WARREN,BLVD,RM-5,,t,9297,,
16114150160000,t,3301,W,WARREN,BLVD,RM-5,,t,3515,,
16124210340000,t,2736,W,WARREN,BLVD,RT-4,,t,2227,,
16142220140000,t,3318,W,VAN BUREN,ST,RM-5,,t,2488,,
16142220210000,t,3300,W,VAN BUREN,ST,RM-5,,t,2461,,
16132170060000,t,2645,W,JACKSON,BLVD,RT-4,,t,1938,,
16132130130000,t,2648,W,JACKSON,BLVD,RT-4,,t,3119,,
16132160100000,t,2735,W,JACKSON,BLVD,RT-4,,t,2104,,
16132160050000,t,2747,W,JACKSON,BLVD,RT-4,,t,2504,,
16132160020000,t,2755,W.,JACKSON,BLVD,RT-4,,t,2804,,
16131160300000,t,2940,W,JACKSON,BLVD,RT-4,,t,2923,,
16123060280000,t,2946,W,FULTON,ST,RT-4,,t,3776,,
16123100370000,t,2924,W,WALNUT,ST,RT-4,,t,2996,,
16123080370000,t,3128,W,WALNUT,ST,RT-4,,t,2710,,
